Date,Adj Close
4/30/2021,251.118286
5/3/2021,250.799637
5/4/2021,246.74678
5/5/2021,245.432327
5/6/2021,248.678604
5/7/2021,251.39711
5/10/2021,246.139343
5/11/2021,245.193329
5/12/2021,237.99379
5/13/2021,242.006805
5/14/2021,247.105255
5/17/2021,244.147766
5/18/2021,242.05661
5/19/2021,242.655457
5/20/2021,246.009033
5/21/2021,244.701538
5/24/2021,250.300827
5/25/2021,251.239029
5/26/2021,251.009476
5/27/2021,248.833633
5/28/2021,249.202911
6/1/2021,246.927277
6/2/2021,246.827469
6/3/2021,245.240524
6/4/2021,250.310791
6/7/2021,253.325027
6/8/2021,252.087418
6/9/2021,253.105453
6/10/2021,256.748474
6/11/2021,257.397247
6/14/2021,259.393433
6/15/2021,257.866333
6/16/2021,256.888214
6/17/2021,260.401489
6/18/2021,258.934296
6/21/2021,262.128174
6/22/2021,265.002686
6/23/2021,264.763123
6/24/2021,266.18042
6/25/2021,264.513611
6/28/2021,268.206543
6/29/2021,270.881409
6/30/2021,270.382385
7/1/2021,271.081055
7/2/2021,277.119476
7/6/2021,277.129456
7/7/2021,279.395111
7/8/2021,276.889923
7/9/2021,277.408936
7/12/2021,276.790131
7/13/2021,280.443115
7/14/2021,281.970215
7/15/2021,280.493011
7/16/2021,280.213562
7/19/2021,276.480713
7/20/2021,278.786285
7/21/2021,280.862305
7/22/2021,285.593262
7/23/2021,289.116516
7/26/2021,288.497681
7/27/2021,285.992493
7/28/2021,285.673096
7/29/2021,285.952576
7/30/2021,284.365601
8/2/2021,284.275787
8/3/2021,286.571381
8/4/2021,285.962555
8/5/2021,288.966797
8/6/2021,288.906921
8/9/2021,287.779053
8/10/2021,285.8927
8/11/2021,286.401733
8/12/2021,289.256256
8/13/2021,292.290436
8/16/2021,294.037109
8/17/2021,292.519989
8/18/2021,290.730011
8/19/2021,296.769989
8/20/2021,304.359985
8/23/2021,304.649994
8/24/2021,302.619995
8/25/2021,302.01001
8/26/2021,299.089996
8/27/2021,299.720001
8/30/2021,303.589996
8/31/2021,301.880005
9/1/2021,301.829987
9/2/2021,301.149994
9/3/2021,301.140015
9/7/2021,300.179993
9/8/2021,300.209991
9/9/2021,297.25
9/10/2021,295.709991
9/13/2021,296.98999
9/14/2021,299.790009
9/15/2021,304.820007
9/16/2021,305.220001
9/17/2021,299.869995
9/20/2021,294.299988
9/21/2021,294.799988
9/22/2021,298.579987
9/23/2021,299.559998
9/24/2021,299.350006
9/27/2021,294.170013
9/28/2021,283.519989
9/29/2021,284
9/30/2021,281.920013
10/1/2021,289.100006
10/4/2021,283.109985
10/5/2021,288.76001
10/6/2021,293.109985
10/7/2021,294.850006
10/8/2021,294.850006
10/11/2021,294.230011
10/12/2021,292.880005
10/13/2021,296.309998
10/14/2021,302.75
10/15/2021,304.209991
10/18/2021,307.290009
10/19/2021,308.230011
10/20/2021,307.410004
10/21/2021,310.76001
10/22/2021,309.160004
10/25/2021,308.130005
10/26/2021,310.109985
10/27/2021,323.170013
10/28/2021,324.350006
10/29/2021,331.619995
